HS부호,한글품목명,영문품목명,parent_code,한국표준무역분류명,품목규격명
0101,,"Horses, asses, mules and hinnies; live",01,,
010121,,"Horses; live, pure-bred breeding animals",0101,,
0101211000,농가 사육용,For farm breeding,010121,,
0101219000,기타,Other,010121,,
010129,,"Horses; live, other than pure-bred breeding animals",0101,,
0101291000,경주말,Horses for racing,010129,,
0101299000,기타,Other,010129,,
010130,,Asses; live,0101,,
0101300000,당나귀,Asses,010130,,
010190,,Mules and hinnies; live,0101,,
0101900000,기타,Other,010190,,
0102,,Bovine animals; live,01,,
010221,,"Cattle; live, pure-bred breeding animals",0102,,
0102211000,젖소,For milk ,010221,,
0102212000,육우(肉牛),For meat,010221,,
0102219000,기타,Other,010221,,
010229,,"Cattle; live, other than pure-bred breeding animals",0102,,
0102291000,젖소,For milk ,010229,,
0102292000,육우(肉牛),For meat,010229,,
0102299000,기타,Other,010229,,
010231,,"Buffalo; live, pure-bred breeding animals",0102,,
0102310000,번식용,Pure-bred breeding animals,010231,,
010239,,"Buffalo; live, other than pure-bred breeding animals",0102,,
0102391000,젖소,For milk ,010239,,
0102392000,육우(肉牛),For meat,010239,,
0102399000,기타,Other,010239,,
010290,,"Bovine animals; live, other than cattle and buffalo",0102,,
0102901000,번식용,Pure-bred breeding animals,010290,,
01029090,기타,Other,010290,,
0102909010,젖소,For milk,010290,,
0102909020,육우(肉牛),For meat,010290,,
0102909090,기타,Other,010290,,
0103,,Swine; live,01,,
010310,,"Swine; live, pure-bred breeding animals",0103,,
0103100000,번식용,Pure-bred breeding animals,010310,,
010391,,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",0103,,
0103910000,중량이 50킬로그램 미만인 것,Weighing less than 50 kg,010391,,
010392,,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",0103,,
0103920000,중량이 50킬로그램 이상인 것,Weighing 50 kg or more,010392,,
0104,,Sheep and goats; live,01,,
010410,,Sheep; live,0104,,
0104101000,번식용,Pure-bred breeding animals,010410,,
0104109000,기타,Other,010410,,
010420,,Goats; live,0104,,
0104201000,젖염소,Milk goats,010420,,
0104209000,기타,Other,010420,,
0105,,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",01,,
010511,,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",0105,,
0105111000,번식용,Pure-bred breeding animals,010511,,
0105119000,기타,Other,010511,,
010512,,"Poultry; live, turkeys, weighing not more than 185g",0105,,
0105120000,칠면조,Turkeys,010512,,
010513,,"Poultry; live, ducks, weighing not more than 185g",0105,,
0105131000,번식용,Pure-bred breeding animals,010513,,
0105139000,기타,Other,010513,,
010514,,"Poultry; live, geese, weighing not more than 185g",0105,,
0105140000,거위,Geese,010514,,
010515,,"Poultry; live, guinea fowls, weighing not more than 185g",0105,,
0105150000,기니아새,Guinea fowls,010515,,
010594,,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",0105,,
0105941000,번식용,Pure-bred breeding animals,010594,,
0105949000,기타,Other,010594,,
010599,,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",0105,,
01059910,오리,Ducks,010599,,
0105991010,번식용,Pure-bred breeding animals,010599,,
0105991090,기타,Other,010599,,
0105992000,칠면조,Turkeys,010599,,
0105999000,기타,Other,010599,,
0106,,"Animals; live, n.e.c. in chapter 01",01,,
010611,,"Mammals; live, primates",0106,,
0106110000,영장류,Primates,010611,,
010612,,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",0106,,
0106121000,"고래ㆍ돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물)","Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)",010612,,
0106122000,"물개, 바다사자와 바다코끼리(기각아목의 포유동물)","Seals, sea lions and walruses (mammals of the suborder Pinnipedia)",010612,,
010613,,"Mammals; live, camels and other camelids (Camelidae)",0106,,
0106130000,낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과],Camels and other camelids (Camelidae),010613,,
010614,,"Mammals; live, rabbits and hares",0106,,
0106141000,번식용,Pure-bred breeding animals,010614,,
0106149000,기타,Other,010614,,
010619,,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",0106,,
0106191000,개,Dogs,010619,,
0106193000,사슴,Deer,010619,,
0106194000,곰,Bears,010619,,
01061950,여우,Fox,010619,,
0106195010,번식용,Pure-bred breeding animals,010619,,
0106195090,기타,Other,010619,,
01061960,밍크,Mink,010619,,
0106196010,번식용,Pure-bred breeding animals,010619,,
0106196090,기타,Other,010619,,
0106199000,기타,Other,010619,,
010620,,Reptiles; live (including snakes and turtles),0106,,
0106201000,뱀,Snakes,010620,,
0106202000,자라,Fresh-water tortoises,010620,,
0106203000,거북,Turtles,010620,,
0106209000,기타,Other,010620,,
010631,,"Birds; live, birds of prey",0106,,
0106310000,맹금류,Birds of prey,010631,,
010632,,"Birds; live, Psittaciformes",0106,,
0106320000,앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다],"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",010632,,
010633,,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",0106,,
0106330000,타조와 에뮤(emus)[드로마이어스 노배홀란디애(Dromaius novaehollandiae)],Ostriches; emus (Dromaius novaehollandiae),010633,,
010639,,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",0106,,
0106390000,기타,Other,010639,,
010641,,"Insects; live, bees",0106,,
0106410000,벌,Bees,010641,,
010649,,"Insects; live, other than bees",0106,,
0106490000,기타,Other,010649,,
010690,,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",0106,,
0106901000,양서류,Amphibia,010690,,
01069030,환형동물류,Annelida,010690,,
0106903010,갯지렁이,Lug worms,010690,,
0106903020,실지렁이,Sludge worms,010690,,
0106903090,기타,Other,010690,,
0106909000,기타,Other,010690,,
0201,,Meat of bovine animals; fresh or chilled,02,,
020110,,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",0201,,
0201100000,도체(屠體)와 이분도체(二分屠體),Carcasses and half-carcasses,020110,,
