번호,코드유효값,코드유효값명
1,A,기본세율
2,A1,기본세율(선택1)
3,B,잠정세율
4,C,WTO협정세율
5,C1,WTO협정세율(선택1)
6,C2,WTO협정세율(선택2)
7,C2A1,WTO협정세율(선택14)
8,C2A2,WTO협정세율(선택15)
9,C2A3,WTO협정세율(선택16)
10,C2A4,WTO협정세율(선택17)
11,C2A5,WTO협정세율(선택18)
12,C2A6,WTO협정세율(선택19)
13,C2A7,WTO협정세율(선택20)
14,C2A8,WTO협정세율(선택21)
15,C2A9,WTO협정세율(선택22)
16,C3,WTO협정세율(선택10)
17,C4,WTO협정세율(선택11)
18,C5,WTO협정세율(선택12)
19,C6,WTO협정세율(선택13)
20,CIT,WTO협정세율(선택3)
21,CIT1,WTO협정세율(선택4)
22,CIT2,WTO협정세율(선택5)
23,CIT3,WTO협정세율(선택6)
24,CIT4,WTO협정세율(선택7)
25,CIT5,WTO협정세율(선택8)
26,CIT6,WTO협정세율(선택9)
27,D,WTO개도국협정세율
28,E1,아시아ㆍ태평양 협정세율(일반)
29,E1A1,아시아ㆍ태평양 협정세율(선택1)
30,E1A10,아시아ㆍ태평양 협정세율(선택10)
31,E1A2,아시아ㆍ태평양 협정세율(선택2)
32,E1A3,아시아ㆍ태평양 협정세율(선택3)
33,E1A4,아시아ㆍ태평양 협정세율(선택4)
34,E1A5,아시아ㆍ태평양 협정세율(선택5)
35,E1A6,아시아ㆍ태평양 협정세율(선택6)
36,E1A7,아시아ㆍ태평양 협정세율(선택7)
37,E1A8,아시아ㆍ태평양 협정세율(선택8)
38,E1A9,아시아ㆍ태평양 협정세율(선택9)
39,E1B1,아시아ㆍ태평양 협정세율(선택1)
40,E1B2,아시아ㆍ태평양 협정세율(선택2)
41,E1B3,아시아ㆍ태평양 협정세율(선택3)
42,E1B4,아시아ㆍ태평양 협정세율(선택4)
43,E1L1,아시아ㆍ태평양 협정세율(선택1)
44,E1L2,아시아ㆍ태평양 협정세율(선택2)
45,E1L3,아시아ㆍ태평양 협정세율(선택3)
46,E1L4,아시아ㆍ태평양 협정세율(선택4)
47,E1L5,아시아ㆍ태평양 협정세율(선택5)
48,E1L6,아시아ㆍ태평양 협정세율(선택6)
49,E1L7,아시아ㆍ태평양 협정세율(선택7)
50,E2,아시아ㆍ태평양 협정세율(방글라데시)
51,E2A1,아시아ㆍ태평양 협정세율(방글라데시)(선택1)
52,E2A2,아시아ㆍ태평양 협정세율(방글라데시)(선택2)
53,E2A3,아시아ㆍ태평양 협정세율(방글라데시)(선택3)
54,E3,아시아ㆍ태평양 협정세율(라오스)
55,E3A1,아시아ㆍ태평양 협정세율(라오스)(선택1)
56,E3A2,아시아ㆍ태평양 협정세율(라오스)(선택2)
57,E3A3,아시아ㆍ태평양 협정세율(라오스)(선택3)
58,F,국제협력관세
59,F1,국제협력관세(선택1)
60,FAS1,한ㆍ아세안 FTA협정세율(선택1)
61,FAS2,한ㆍ아세안 FTA협정세율(선택2)
62,FAS3,한ㆍ아세안 FTA협정세율(선택3)
63,FAS4,한ㆍ아세안 FTA협정세율(선택4)
64,FASID,한ㆍ아세안 FTA상호대응세율(인도네시아)
65,FASMM,한ㆍ아세안 FTA상호대응세율(미얀마)
66,FASMY,한ㆍ아세안 FTA상호대응세율(말레이시아)
67,FASPH1,한ㆍ아세안 FTA상호대응세율(필리핀1)
68,FASPH2,한ㆍ아세안 FTA상호대응세율(필리핀2)
69,FASPH3,한ㆍ아세안 FTA상호대응세율(필리핀3)
70,FASTH,한ㆍ아세안 FTA상호대응세율(태국)
71,FASVN1,한ㆍ아세안 FTA상호대응세율(베트남1)
72,FASVN2,한ㆍ아세안 FTA상호대응세율(베트남2)
73,FAU1,한ㆍ호주 FTA협정세율(선택1)
74,FAU10,한ㆍ호주 FTA협정세율(선택10)
75,FAU11,한ㆍ호주 FTA협정세율(선택11)
76,FAU2,한ㆍ호주 FTA협정세율(선택2)
77,FAU3,한ㆍ호주 FTA협정세율(선택3)
78,FAU4,한ㆍ호주 FTA협정세율(선택4)
79,FAU5,한ㆍ호주 FTA협정세율(선택5)
80,FAU6,한ㆍ호주 FTA협정세율(선택6)
81,FAU7,한ㆍ호주 FTA협정세율(선택7)
82,FAU8,한ㆍ호주 FTA협정세율(선택8)
83,FAU9,한ㆍ호주 FTA협정세율(선택9)
84,FCA1,한ㆍ캐나다 FTA협정세율(선택1)
85,FCA10,한ㆍ캐나다 FTA협정세율(선택10)
86,FCA11,한ㆍ캐나다 FTA협정세율(선택11)
87,FCA12,한ㆍ캐나다 FTA협정세율(선택12)
88,FCA2,한ㆍ캐나다 FTA협정세율(선택2)
89,FCA3,한ㆍ캐나다 FTA협정세율(선택3)
90,FCA4,한ㆍ캐나다 FTA협정세율(선택4)
91,FCA5,한ㆍ캐나다 FTA협정세율(선택5)
92,FCA6,한ㆍ캐나다 FTA협정세율(선택6)
93,FCA7,한ㆍ캐나다 FTA협정세율(선택7)
94,FCA8,한ㆍ캐나다 FTA협정세율(선택8)
95,FCA9,한ㆍ캐나다 FTA협정세율(선택9)
96,FCECR1,한ㆍ중미 FTA협정세율_코스타리카(선택1)
97,FCECR2,한ㆍ중미 FTA협정세율_코스타리카(선택2)
98,FCECR3,한ㆍ중미 FTA협정세율_코스타리카(선택3)
99,FCECR4,한ㆍ중미 FTA협정세율_코스타리카(선택4)
100,FCECR5,한ㆍ중미 FTA협정세율_코스타리카(선택5)
101,FCECR6,한ㆍ중미 FTA협정세율_코스타리카(선택6)
102,FCEHN1,한ㆍ중미 FTA협정세율_온두라스(선택1)
103,FCEHN2,한ㆍ중미 FTA협정세율_온두라스(선택2)
104,FCEHN3,한ㆍ중미 FTA협정세율_온두라스(선택3)
105,FCEHN4,한ㆍ중미 FTA협정세율_온두라스(선택4)
106,FCEHN5,한ㆍ중미 FTA협정세율_온두라스(선택5)
107,FCEHN6,한ㆍ중미 FTA협정세율_온두라스(선택6)
108,FCEHN7,한ㆍ중미 FTA협정세율_온두라스(추천)
109,FCENI1,한ㆍ중미 FTA협정세율_니카라과(선택1)
110,FCENI2,한ㆍ중미 FTA협정세율_니카라과(선택2)
111,FCENI3,한ㆍ중미 FTA협정세율_니카라과(선택3)
112,FCENI4,한ㆍ중미 FTA협정세율_니카라과(선택4)
113,FCENI5,한ㆍ중미 FTA협정세율_니카라과(선택5)
114,FCENI6,한ㆍ중미 FTA협정세율_니카라과(선택6)
