HS10,HS부호,성질통합분류코드명,영문품목명,한글품목명,HS10_int,사용자_상품명,사용자_상품설명
9030200000,9030200000,(전자계측기),Oscilloscopes and oscillographs,오실로스코프(oscilloscope)와 오실로그래프(oscillograph),9030200000,오실로스코프(oscilloscope)와 오실로그래프(oscillograph),"(전자계측기). 대분류: Instruments, apparatus for measuring, checking electrical quantities not meters of heading no. 9028; instruments, apparatus for measuring or detecting alpha, beta, gamma, x-ray, cosmic and other radiations. 중분류: Oscilloscopes and oscillographs."
8421292010,8421292010,(액체 및 기체 여과기계),Of fluoropolymers and with filter or purifier membrane thickness not exceeding 140 microns,플루오르 중합체로 만든 것으로서 여과기 또는 청정기의 막 두께가 140마이크론 이하인 것,8421292010,플루오르 중합체로 만든 것으로서 여과기 또는 청정기의 막 두께가 140마이크론 이하인 것,"(액체 및 기체 여과기계). 대분류: Centrifuges, including centrifugal dryers; filtering or purifying machinery and apparatus for liquids or gases. 중분류: Machinery; for filtering or purifying liquids, n.e.c. in item no. 8421.2."
8462221000,8462221000,(금속성형가공기계),Numerically controlled,수치제어식,8462221000,수치제어식,"(금속성형가공기계). 대분류: Machine-tools (including presses) for working metal by forging, hammering or die forging (excluding rolling mills); machine-tools (including presses, slitting lines and cut-to-length lines) for working metal by bending, folding, straightening, flattening,. 중분류: Machine-tools; bending, folding, straightening or flattening machines (including press brakes) for flat products, for working metal, numerically controlled."
8523210000,8523210000,(기타 컴퓨터 주변기기),"Cards incorporating a magnetic stripe, whether or not recording",마그네틱 스트라이프(magnetic stripe)를 갖춘 카드(기록된 것인지에 상관없다),8523210000,마그네틱 스트라이프(magnetic stripe)를 갖춘 카드(기록된 것인지에 상관없다),"(기타 컴퓨터 주변기기). 대분류: Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, excluding products of Chapter 37. 중분류: Magnetic media; cards incorporating a magnetic stripe, whether or not recorded, excluding products of Chapter 37."
2815300000,2815300000,(무기화합물),Peroxides of sodium or potassium,과산화나트륨이나 과산화칼륨,2815300000,과산화나트륨이나 과산화칼륨,(무기화합물). 대분류: Sodium hydroxide (caustic soda); potassium hydroxide (caustic potash) peroxides of sodium or potassium. 중분류: Peroxides of sodium or potassium.
2001909010,2001909010,(채소류가공품),Green onions,쪽파,2001909010,쪽파,"(채소류가공품). 대분류: Vegetables, fruit, nuts and other edible parts of plants; prepared or preserved by vinegar or acetic acid. 중분류: Vegetable preparations; vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid (excluding cucumbers and gherkins)."
2941400000,2941400000,(기타 의약품),Chloramphenicol and its derivatives; salts thereof,"클로람페니콜과 그 유도체, 이들의 염",2941400000,"클로람페니콜과 그 유도체, 이들의 염",(기타 의약품). 대분류: Antibiotics. 중분류: Antibiotics; chloramphenicol and its derivatives; salts thereof.
2309903010,2309903010,(사료),Chiefly on the basis of antibiotics,항생물질을 주로 한 것,2309903010,항생물질을 주로 한 것,"(사료). 대분류: Preparations of a kind used in animal feeding. 중분류: Dog or cat food; (not put up for retail sale), used in animal feeding."
8504229010,8504229010,(유압식 변압기),"Having a power handling capacity exceeding 650 kVA but not exceeding 1,000 kVA","용량이 650킬로볼트암페어 초과 1,000킬로볼트암페어 이하인 것",8504229010,"용량이 650킬로볼트암페어 초과 1,000킬로볼트암페어 이하인 것","(유압식 변압기). 대분류: Electric transformers, static converters (e.g. rectifiers) and inductors. 중분류: Electrical transformers; liquid dielectric, having a power handling capacity exceeding 650kVA but not exceeding 10,000kVA."
5507000000,5507000000,(모든 재생·반합성섬유),"Artificial staple fibres, carded, combed or otherwise processed for spinning.",재생ㆍ반(半)합성 스테이플섬유[카드(card)ㆍ코움(comb)이나 그 밖의 방적준비 처리를 한 것으로 한정한다],5507000000,재생ㆍ반(半)합성 스테이플섬유[카드(card)ㆍ코움(comb)이나 그 밖의 방적준비 처리를 한 것으로 한정한다],"(모든 재생·반합성섬유). 대분류: Artificial staple fibres, carded, combed or otherwise processed for spinning. 중분류: Artificial staple fibres, carded, combed or otherwise processed for spinning."
4810321000,4810321000,(기타 종이제품),"Folding carton stock(including cosmetic, pharmaceutic, cigarette case and the like)",카톤(carton)용 원지(화장품ㆍ의약품ㆍ담배의 포장용과 이와 유사한 것을 포함한다),4810321000,카톤(carton)용 원지(화장품ㆍ의약품ㆍ담배의 포장용과 이와 유사한 것을 포함한다),"(기타 종이제품). 대분류: Paper and paperboard, coated one or both sides with kaolin (china clay) or inorganic substances, with binder or not, no other coating, surface coloured or not, surface decorated or printed, in rolls or rectangular (including square) sheets, of any size. 중분류: Kraft paper and paperboard; uniformly bleached throughout, coated with inorganic substances, more than 95% of chemically processed wood fibres, weight more than 150g/m2, for non-graphic purposes, in rolls or sheets."
4412314021,4412314021,(합판),With at least one outer ply of tropical wood specified in National Note 1 to this chapter,적어도 한쪽 외면의 플라이(ply)가 이류의 국내주 제1호의 열대산 목재인 것,4412314021,적어도 한쪽 외면의 플라이(ply)가 이류의 국내주 제1호의 열대산 목재인 것,"(합판). 대분류: Plywood, veneered panels and similar laminated wood. 중분류: Plywood; consisting only of sheets of wood (not bamboo), each ply 6mm or thinner, with at least one outer ply of tropical wood."
8606100000,8606100000,(철도차량),Tank wagons and the like,탱크차와 이와 유사한 차,8606100000,탱크차와 이와 유사한 차,"(철도차량). 대분류: Railway or tramway goods vans and wagons; not self-propelled. 중분류: Railway or tramway goods vans and wagons; tank wagons and the like, not self-propelled."
8522903000,8522903000,(방송기기 부품),Magnetic head and its parts,자기헤드와 동 부분품,8522903000,자기헤드와 동 부분품,"(방송기기 부품). 대분류: Sound or video recording apparatus; parts and accessories suitable for use solely or principally with the apparatus of heading 8519 or 8521. 중분류: Sound or video recording or reproducing apparatus; parts and accessories thereof, other than pick-up cartridges."
9705210000,9705210000,(수집품 및 골동품),Human specimens and parts thereof,사람 표본과 그 일부분,9705210000,사람 표본과 그 일부분,"(수집품 및 골동품). 대분류: Collections and collectors' pieces; of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, palaeontological or numismatic interest. 중분류: Collections and collectors' pieces; of zoological, botanical, mineralogical, anatomical or palaeontological interest, human specimens and parts thereof."
3915909010,3915909010,(기타 플라스틱제품),Plastic packing materials before they became wastes,제조 당시 플라스틱 포장재의 것,3915909010,제조 당시 플라스틱 포장재의 것,"(기타 플라스틱제품). 대분류: Waste, parings and scrap, of plastics. 중분류: Plastics n.e.c. in heading no. 3915; waste, parings and scrap."
8704239010,8704239010,(화물자동차),Freezer and refrigerator vehicles,냉동차ㆍ냉장차,8704239010,냉동차ㆍ냉장차,"(화물자동차). 대분류: Vehicles; for the transport of goods. 중분류: Vehicles; with only compression-ignition internal combustion piston engine (diesel or semi-diesel), for transport of goods, (of a g.v.w. exceeding 20 tonnes), n.e.c. in item no 8704.1."
6211431000,6211431000,(직물제 의류),Of synthetic fibres,합성섬유로 만든 것,6211431000,합성섬유로 만든 것,"(직물제 의류). 대분류: Track suits, swimwear and other garments (not knitted or crocheted). 중분류: Track suits and other garments n.e.c.; women's or girls', of man-made fibres (not knitted or crocheted)."
9014801000,9014801000,(기타 계측기),Ultrasonic fish finders,초음파 어군탐지기 ,9014801000,초음파 어군탐지기 ,(기타 계측기). 대분류: Navigational instruments and appliances; direction finding compasses. 중분류: Navigational instruments and appliances; for navigation other than aeronautical or space navigation (excluding direction finding compasses).
