code,description,parent_code,category
01,Animals; live,,commodities
0101,"Horses, asses, mules and hinnies; live",01,"mules, hinnies, horses"
010121,"Horses; live, pure-bred breeding animals",0101,horses
0101211000,농가 사육용 (For farm breeding),010121,말
0101219000,"'Horses; live, pure-bred breeding animals' 분류 내의 (농가 사육용 (For farm breeding))을/를 제외한 나머지 품목",010121,말
010129,"Horses; live, other than pure-bred breeding animals",0101,horses
0101291000,경주말 (Horses for racing),010129,말
0101299000,"'Horses; live, other than pure-bred breeding animals' 분류 내의 (경주말 (Horses for racing))을/를 제외한 나머지 품목",010129,말
010130,Asses; live,0101,asses
0101300000,당나귀 (Asses),010130,기타 산 동물
010190,Mules and hinnies; live,0101,"hinnies, mules"
0101900000,'Mules and hinnies; live' 하위의 기타 품목 (세부 분류 없음),010190,기타 산 동물
0102,Bovine animals; live,01,bovine
010221,"Cattle; live, pure-bred breeding animals",0102,cattle
0102211000,젖소 (For milk ),010221,소
0102212000,육우(肉牛) (For meat),010221,소
0102219000,"'Cattle; live, pure-bred breeding animals' 분류 내의 (젖소 (For milk ), 육우(肉牛) (For meat))을/를 제외한 나머지 품목",010221,소
010229,"Cattle; live, other than pure-bred breeding animals",0102,cattle
0102291000,젖소 (For milk ),010229,소
0102292000,육우(肉牛) (For meat),010229,소
0102299000,"'Cattle; live, other than pure-bred breeding animals' 분류 내의 (젖소 (For milk ), 육우(肉牛) (For meat))을/를 제외한 나머지 품목",010229,소
010231,"Buffalo; live, pure-bred breeding animals",0102,buffalo
0102310000,번식용 (Pure-bred breeding animals),010231,소
010239,"Buffalo; live, other than pure-bred breeding animals",0102,buffalo
0102391000,젖소 (For milk ),010239,소
0102392000,육우(肉牛) (For meat),010239,소
0102399000,"'Buffalo; live, other than pure-bred breeding animals' 분류 내의 (젖소 (For milk ), 육우(肉牛) (For meat))을/를 제외한 나머지 품목",010239,소
010290,"Bovine animals; live, other than cattle and buffalo",0102,bovine
0102901000,번식용 (Pure-bred breeding animals),010290,소
01029090,"'Bovine animals; live, other than cattle and buffalo' 분류 내의 (번식용 (Pure-bred breeding animals), 젖소 (For milk), 육우(肉牛) (For meat))을/를 제외한 나머지 품목",010290,bovine
0102909010,젖소 (For milk),010290,소
0102909020,육우(肉牛) (For meat),010290,소
0102909090,"'Bovine animals; live, other than cattle and buffalo' 분류 내의 (번식용 (Pure-bred breeding animals), 젖소 (For milk), 육우(肉牛) (For meat))을/를 제외한 나머지 품목",010290,소
0103,Swine; live,01,swine
010310,"Swine; live, pure-bred breeding animals",0103,swine
0103100000,번식용 (Pure-bred breeding animals),010310,돼지
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",0103,swine
0103910000,중량이 50킬로그램 미만인 것 (Weighing less than 50 kg),010391,돼지
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",0103,swine
0103920000,중량이 50킬로그램 이상인 것 (Weighing 50 kg or more),010392,돼지
0104,Sheep and goats; live,01,"goats, sheep"
010410,Sheep; live,0104,sheep
0104101000,번식용 (Pure-bred breeding animals),010410,기타 산 동물
0104109000,'Sheep; live' 분류 내의 (번식용 (Pure-bred breeding animals))을/를 제외한 나머지 품목,010410,기타 산 동물
010420,Goats; live,0104,goats
0104201000,젖염소 (Milk goats),010420,기타 산 동물
0104209000,'Goats; live' 분류 내의 (젖염소 (Milk goats))을/를 제외한 나머지 품목,010420,기타 산 동물
0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",01,poultry
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",0105,poultry
0105111000,번식용 (Pure-bred breeding animals),010511,닭
0105119000,"'Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g' 분류 내의 (번식용 (Pure-bred breeding animals))을/를 제외한 나머지 품목",010511,닭
010512,"Poultry; live, turkeys, weighing not more than 185g",0105,poultry
0105120000,칠면조 (Turkeys),010512,칠면조
010513,"Poultry; live, ducks, weighing not more than 185g",0105,poultry
0105131000,번식용 (Pure-bred breeding animals),010513,오리
