시행일자,HS10_int,사용자_상품명,사용자_상품설명
2025-10-24,6806909000,"Thermal Insulation Paper; I-10HPIK2; 1000mm(W) × 1000M(L), 1 Roll; JP;","- (개요) 카올린(Kaolin) 분말 주성분에 아라미드 섬유(Aramid Fiber), Polyphenylene sulfide, Polyethylene Terephthalate, Water-soluble Aluminum 등을 혼합 압축 등의 공정을 거쳐 만든 미황색계 시트상의 것(제시 규격: 1000mm(W) × 1000M(L), 1 Roll)

성분 함량 : Kaolin 65~75%, Aramid Fiber 5~8%, Polyphenylene sulfide 7~10%, Polyethylene Terephthalate 2~5%, Water-soluble Aluminum 1~4%, Misc., not to declare 7~10%

- (용도) 전기차 배터리 모듈의 폭발 화재 방지를 위한 열차단재. 산업용 단열재 및 열전도 차단용 부자재

제조 공정 : 원료 혼합 → 종이 형성 → 프레스 및 건조 → 캘린더링 → 검사 및 포장"
2025-10-24,6806909000,"Thermal Insulation Paper; I-10HPIK2; 1000mm(W) × 1000M(L), 1 Roll; JP;","- (개요) 카올린(Kaolin) 분말 주성분에 아라미드 섬유(Aramid Fiber), Polyphenylene sulfide, Polyethylene Terephthalate, Water-soluble Aluminum 등을 혼합 압축 등의 공정을 거쳐 만든 미황색계 시트상의 것(제시 규격: 1000mm(W) × 1000M(L), 1 Roll)

성분 함량 : Kaolin 65~75%, Aramid Fiber 5~8%, Polyphenylene sulfide 7~10%, Polyethylene Terephthalate 2~5%, Water-soluble Aluminum 1~4%, Misc., not to declare 7~10%

- (용도) 전기차 배터리 모듈의 폭발 화재 방지를 위한 열차단재. 산업용 단열재 및 열전도 차단용 부자재

제조 공정 : 원료 혼합 → 종이 형성 → 프레스 및 건조 → 캘린더링 → 검사 및 포장"
2025-10-24,6806909000,"Thermal Insulation Paper; I-10HPIK2; 1000mm(W) × 1000M(L), 1 Roll; JP;","- (개요) 카올린(Kaolin) 분말 주성분에 아라미드 섬유(Aramid Fiber), Polyphenylene sulfide, Polyethylene Terephthalate, Water-soluble Aluminum 등을 혼합 압축 등의 공정을 거쳐 만든 미황색계 시트상의 것(제시 규격: 1000mm(W) × 1000M(L), 1 Roll)

성분 함량 : Kaolin 65~75%, Aramid Fiber 5~8%, Polyphenylene sulfide 7~10%, Polyethylene Terephthalate 2~5%, Water-soluble Aluminum 1~4%, Misc., not to declare 7~10%

- (용도) 전기차 배터리 모듈의 폭발 화재 방지를 위한 열차단재. 산업용 단열재 및 열전도 차단용 부자재

제조 공정 : 원료 혼합 → 종이 형성 → 프레스 및 건조 → 캘린더링 → 검사 및 포장"
2025-10-24,7415330000,DISK NUT ASSY(TES62-300),"- 나선 가공한 홀(볼트 삽입용)을 가진 원형의 구리 합금 재질 물품

(신청 물품)

- 재질: C3771(황동), 크기: M12(나사지름) × ∅106(전체 외경) × 15(두께)

- 용도: 변압기의 누설 전류를 줄이는 탱크 실드(차폐판)를 탱크 내벽에 지지 및 고정하기 위해 사용


(장착 예시)"
2025-10-24,8504409099,AC MOTOR DRIVE; VFD5A5MS43ANSAA;,"- 전면 키패드가 내장된 모터 인버터로, 키패드 조작 또는 상위제어기의 제어에 따라 정해진 AC 전원을 DC로 정류한 후 다시 원하는 주파수와 전압의 AC로 변환하여 모터로 출력하는 기기

- (용도) AC 모터의 속도 및 토크를 제어



- 주요 구성요소
① (디지털 키패드*) 모터 정격 주파수‧전류‧전압 등 파라미터 세팅, 운전 상태(운전/정지/순방향/역방향) 등 디스플레이, RUN/STOP 버튼으로 직접 운전 제어 가능
* (예시) 정격 주파수를 60㎐ 설정 → RUN 조작 → 모터는 정격속도로 동작 → 키패드로 30㎐ 설정 → RUN 조작 → 모터는 정격속도의 50%로 작동



② (입출력 단자) 상위 제어기(PLC)와 연결되어 외부 제어 가능, PC 또는 네트워크와 통신 가능


③ (전원 연결부) 삼상 입력 전원(R/S/T), 모터 출력(U/V/W), 브레이크 저항 단자, DC 리액터 단자로 구성

④ (내부 회로) Control board(제어 연산, 통신 등), Power board(정류(AC→DC), 인버팅(DC→AC) 등), Capacitor board(DC 전압 평활)로 구성

(키패드 및 입출력 단자 이미지)

- (작동원리) 키패드 조작 또는 상위제어기로부터 제어신호 입력 → AC 전원 수신(460V, 60㎐) → 정류회로를 통해 DC로 변환, 이때 DC의 리플(잔류 파형)을 줄이기 위해 평활용 캐피시터가 사용 → 정류된 DC는 DC 링크에 저장 → IGBT(고속 스위칭 소자)를 사용하여 PWM 방식으로 DC를 원하는 주파수와 전압의 AC로 변환* → 모터로 출력
* (예시) 입력 460V AC , 60㎐ → 출력 460V AC, 60㎐ 또는 230V AC, 20㎐ 등"
2025-10-24,8207501090,COUNTERSINK BLANK; 61-102-100009; .312X.750X.250X1.87;,"- 카운터싱크 공구를 구성하는 합금공구강(SKD61) 재질의 Body(절삭날은 없음)

- (용도) 절삭날(PCD, 다결정 다이아몬드)을 붙여서 드릴링 머신이나 핸드 드릴 등의 장비에 부착해서 구멍의 가장자리를 절삭하는 용도



- 상세 설명
① 나사부 : 드릴 장비 등에 체결되는 부분
② 구멍부 : 렌치 등으로 고정할 때 사용
③ 절삭날 부착부 : PCD 절삭날이 장착되는 자리
④ 파일럿부 : 드릴 홀 구멍에 맞추어 정확한 위치를 잡아주는 역할



(절삭날이 부착된 완제품 이미지)"
2025-10-23,6909190000,EMI Filters; ZCAT3035-1330;,"- 산화철ㆍ산화망간ㆍ산화아연 등의 분말을 혼합, 성형, 소결(800℃ 이상)하여 제조한 원기둥 형상의 2분할된 페라이트 코어를 플라스틱 케이스로 감싼 물품
- 크기 : 외경(케이스 포함) 약 20㎜, 내경 약 10㎜, 높이 약 35㎜, 모스 경도 9 미만
- 용도 : 다양한 케이블에 장착하며 전자기간섭 및 고주파 노이즈 억제



< 신청물품 >"
2025-10-23,9019209000,TRILOGY INLET AIR PATH ASSY/RMV FOAM; 1151335,"- 개인용 인공호흡기(품명: Trilogy 100, 200)에 장착되는 물품으로 Removable foam, Inlet air path로 구성됨

- (용도) 외부 공기의 유입경로 제공, 소음 저감 및 기기의 외관을 형성

- 구성요소별 재질 및 기능
① Removable foam : 실리콘 재질로, Inlet air path를 안정적으로 고정시킴
② Inlet air path : 플라스틱 판넬이 공기의 유입경로와 호흡기의 외관을 형성하고, 내부의 실리콘 폼이 공기 흐름 중 발생하는 소음을 저감시킴
③ Inlet air filter slot : 외부 공기 흡입구(필터 미포함)


- 개인용 인공호흡기(품명: Trilogy 100, 200) 상세정보

․ 기능 : 기계호흡이 필요한 환자의 호흡을 돕거나 조절하는 장비
․ 작동원리 : 신청물품을 통해 유입된 실내공기가 Blower, 센서 등을 거쳐 적절한 압력 및 유량으로 조절되어 환자에게 공급됨

※ 의료기기 수입허가증(수허 16-643호)상 개인용 인공호흡기(A07010.02(3))로 분류"
2025-10-23,2103909090,Sauce; BURGER SAUCE,"해바라기유 28%, 설탕 6.3%, 식초 4.5%, 증점제(변성전분, 구아검, 잔탄검), 토마토페이스트, 소금, 난황분말, 양파분말, 파프리카분말, 말토덱스트린, 향미증진제, 색소, 향료, 정제수 등으로 혼합·조제된 황색 페이스트상을 수지제 팩에 소매포장한 것(내용량 210g)

- 용도: 소스(빵, 야채, 햄버거용)




※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음"
2025-10-22,3824999090,Chemical preparations; 화장품원료(헤어퍼머용); Nareion NK IFN,"ㅇ Glycerin 15~20%, 1,2-Hexanediol 1.5~2.0%, Beta-Glucan 0.4~0.5%, Human Peripheral Blood Derived Natural Killer Cell Conditioned Media(인체말초혈액유래엔케이세포배양액) 0.5~3.0%, Water 74.5~82.6%로 조성된 무색투명한 액상

- 용도 : 두발용 제품류 원료(두피 보호용)

※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음"
