HS10,HS부호,성질통합분류코드명,영문품목명,한글품목명,HS10_int,사용자_상품명,사용자_상품설명
409000000,409000000,(기타 축산물),Natural honey.,천연꿀,409000000,천연꿀,"벌집에서 채취한, 첨가물 없는 100% 천연 꿀입니다."
714102020,714102020,(기타 채소류),Pellets,펠릿(pellet),714102020,펠릿(pellet),카사바(마니옥) 뿌리를 잘라 말린 뒤 알갱이(펠릿) 형태로 만든 전분질 농산물입니다.
804502000,804502000,(망고),Mangoes,망고(mango),804502000,망고(mango),생과 상태이거나 말려서 유통되는 식용 망고입니다.
813402000,813402000,(대추),Jujubes,대추,813402000,대추,간식이나 차 재료로 사용하는 말린 대추입니다.
813500000,813500000,(기타 과실류),Mixtures of nuts or dried fruits of this Chapter,이 류의 견과류나 건조한 과실의 혼합물,813500000,이 류의 견과류나 건조한 과실의 혼합물,각종 견과류와 건조 과일을 섞어 만든 혼합 간식 제품입니다.
1103192000,1103192000,(기타 제분 생산품),Of oats,귀리로 만든 것,1103192000,귀리로 만든 것,귀리를 빻거나 잘게 잘라 만든 곡물 가공품입니다.
1107100000,1107100000,(보리가루),Not roasted,볶지 않은 것,1107100000,볶지 않은 것,보리를 싹 틔운 뒤 볶지 않고 건조한 맥아입니다.
1212930000,1212930000,(기타 농산물),Sugar cane,사탕수수,1212930000,사탕수수,설탕 제조나 씹어 먹는 용도로 사용하는 생·냉장·냉동 또는 건조 사탕수수입니다.
1902191000,1902191000,(곡물 가공품),Noodles,국수,1902191000,국수,계란을 넣지 않고 만든 마른 국수류입니다.
1904901010,1904901010,(곡물 가공품),Steamed or boiled rice,찌거나 삶은 쌀,1904901010,찌거나 삶은 쌀,미리 쪄거나 삶아 조리 시간을 줄인 가공 쌀 제품입니다.
2005591000,2005591000,(채소류가공품),Of small green beans,녹두,2005591000,녹두,"식초가 아닌 다른 방법으로 가공·보존한, 냉동하지 않은 녹두 가공품입니다."
2009710000,2009710000,(과실주스),Of a Brix value not exceeding 20,브릭스(Brix) 값이 20 이하인 것,2009710000,브릭스(Brix) 값이 20 이하인 것,"당도(브릭스)가 20 이하인 무발효 사과 주스로, 알코올을 첨가하지 않은 음료입니다."
2101209011,2101209011,(기타 차류),Of packing with tea bag,티백 포장의 것,2101209011,티백 포장의 것,차 추출물이나 찻잎을 작은 주머니에 담아 티백 형태로 포장한 차 제품입니다.
2106909040,2106909040,(기타 조제식료품),Autolyzed yeast and other yeast extracts,자기소화효모(autolyzed yeast)와 그 밖의 효모 추출물(extract),2106909040,자기소화효모(autolyzed yeast)와 그 밖의 효모 추출물(extract),효모를 자체 분해해 얻은 효모 추출물과 그 밖의 효모 추출물을 원료로 한 식품용 제제입니다.
2303100000,2303100000,(농산물 부산물),Residues of starch manufacture and similar residues,전분박과 이와 유사한 박(residue)류,2303100000,전분박과 이와 유사한 박(residue)류,전분이나 설탕을 만드는 과정에서 생긴 박류 부산물을 알갱이 등으로 가공한 제품입니다.
2306200000,2306200000,(농산물 부산물),Of linseed,아마씨에서 나온 것,2306200000,아마씨에서 나온 것,아마씨에서 기름을 짜고 남은 유박 형태의 부산물입니다.
2309102000,2309102000,(사료),Cat food,고양이 사료,2309102000,고양이 사료,"고양이가 먹는 건식 또는 습식 사료로, 소매용으로 포장된 고양이 전용 사료입니다."
2501009010,2501009010,(비(非)금속광물),Edible salt,식염,2501009010,식염,요리에 쓰거나 공업용으로 사용하는 정제 소금 또는 천일염입니다.
2510201000,2510201000,(비(非)금속광물),Natural calcium phosphates,천연 인산칼슘,2510201000,천연 인산칼슘,비료나 공업 원료로 사용하는 천연 인산칼슘 광물을 분쇄한 제품입니다.
2530909091,2530909091,(비(非)금속광물),Natural calcium carbonate,천연탄산칼슘,2530909091,천연탄산칼슘,충전제나 건축 자재 등으로 쓰이는 천연 탄산칼슘 광물 제품입니다.
2710194030,2710194030,(중유),Bunker C,벙커시유,2710194030,벙커시유,선박 연료 등으로 사용하는 점도가 높은 중질 연료유입니다.
2835221000,2835221000,(무기화합물),Of mono-sodium,인산일나트륨,2835221000,인산일나트륨,식품이나 공업용 첨가제로 쓰이는 인산 나트륨 계열 화합물입니다.
2922413000,2922413000,(유기화합물),Salts of lysine and its esters,리신의 염과 리신에스테르의 염,2922413000,리신의 염과 리신에스테르의 염,사료 첨가제나 건강 기능식품 원료로 쓰이는 아미노산 리신과 그 염·에스터 제품입니다.
2924291010,2924291010,(유기화합물),Aminoacetanilide and its derivatives,아미노아세트아닐리드와 그 유도체,2924291010,아미노아세트아닐리드와 그 유도체,의약품이나 화학 합성에 사용하는 아미드계 유기 화합물입니다.
2932209091,2932209091,(농약),Material for manufacturing agricultural chemicals (registered material under the Agricultural Chemicals Management Act),농약원제(農藥原劑)(｢농약관리법｣에 따라 등록된 것으로 한정한다),2932209091,농약원제(農藥原劑)(｢농약관리법｣에 따라 등록된 것으로 한정한다),"농약관리법에 따라 등록된 농약 원액으로, 희석·가공 전에 사용하는 기본 농약 원제입니다."
3206500000,3206500000,(염료 및 안료),Inorganic products of a kind used as luminophores,루미노퍼(luminophore)로 사용되는 무기물,3206500000,루미노퍼(luminophore)로 사용되는 무기물,형광등이나 LED 등에서 빛을 내기 위해 사용하는 무기질 형광 물질입니다.
3209102010,3209102010,(도료 및 잉크),Paints (including enamels),페인트(에나멜을 포함한다),3209102010,페인트(에나멜을 포함한다),수성 아크릴 또는 비닐 수지를 기본으로 한 페인트·에나멜 도료입니다.
3403193000,3403193000,(기타 정밀화학제품),Anti-rust or anti-corrosion preparations,방청제나 부식방지제,3403193000,방청제나 부식방지제,금속 표면의 녹과 부식을 막기 위해 사용하는 방청·윤활용 화학 제품입니다.
3407002000,3407002000,(기타 화학공업제품),Preparations known as “dental wax” or as “dental impression compounds”,치과용 왁스나 치과용 인상재료,3407002000,치과용 왁스나 치과용 인상재료,치과 진료 시 인상 채득이나 모형 제작에 사용하는 치과용 왁스와 인상재료입니다.
3505104010,3505104010,(기타 정밀화학제품),For food,식품용,3505104010,식품용,소스·소시지·제과류 등에 사용하는 식품용 변성 전분·덱스트린 제품입니다.
3507904000,3507904000,(기타 정밀화학제품),"Papain, bromelain and ficin","파파인, 브로멜라인과 피신",3507904000,파파인, 브로멜라인과 피신
3824100000,3824100000,(기타 화학공업제품),Prepared binders for foundry moulds or cores,조제 점결제(주물의 주형용이나 코어용으로 한정한다),3824100000,조제 점결제(주물의 주형용이나 코어용으로 한정한다),주물용 모래를 굳히기 위해 사용하는 주형·코어용 점결제입니다.
3824998000,3824998000,(기타 화학공업제품),Prepared organic peroxides (other than products of heading 38.15 and HSK 3824.99-4400),조제유기과산화물(제3815호의 물품과 제3824.99-4400호의 물품은 제외한다),3824998000,조제유기과산화물(제3815호의 물품과 제3824.99-4400호의 물품은 제외한다),수지 경화나 가교 반응 등에 사용하는 유기 과산화물 기반의 화학 제제입니다.
3901101000,3901101000,(합성수지),Linear low density polyethylene,선형저밀도폴리에틸렌,3901101000,선형저밀도폴리에틸렌,"비닐봉투나 필름 등에 쓰이는, 비중이 낮고 유연한 선형 저밀도 폴리에틸렌 수지입니다."
3904100000,3904100000,(합성수지),"Poly (vinyl chloride), not mixed with any other substances",폴리(염화비닐)(다른 물질을 혼합하지 않은 것으로 한정한다),3904100000,폴리(염화비닐)(다른 물질을 혼합하지 않은 것으로 한정한다),"관·시트·창호재 등에 쓰는, 다른 물질이 섞이지 않은 순수 폴리염화비닐(PVC) 수지입니다."
3907610000,3907610000,(합성수지),Having a viscosity number of 78 ㎖/g or higher,점도번호가 그램당 78 밀리리터 이상인 것,3907610000,점도번호가 그램당 78 밀리리터 이상인 것,섬유·병·필름 원료로 쓰이는 점도가 높은 폴리에스터 수지입니다.
3922101000,3922101000,(플라스틱제 생활용품),Baths and shower baths,목욕통과 샤워통,3922101000,목욕통과 샤워통,욕실에 설치하는 플라스틱 욕조와 샤워용 욕조입니다.
3923300000,3923300000,(플라스틱제 생활용품),"Carboys, bottles, flasks and similar articles",카보이(carboy)ㆍ병ㆍ플라스크(flask)와 이와 유사한 물품,3923300000,카보이(carboy)ㆍ병ㆍ플라스크(flask)와 이와 유사한 물품,음료나 화학제품 등을 담아 운반·보관하는 플라스틱 병·플라스크 등 용기입니다.
4005101000,4005101000,(원료용 고무제품),"Plates, sheets and strip",판ㆍ시트(sheet)ㆍ스트립,4005101000,판ㆍ시트(sheet)ㆍ스트립,가공·성형용으로 쓰는 미경화 복합 고무 판·시트·띠 모양 제품입니다.
4412337000,4412337000,(합판),Of a thickness not less than 15 mm,두께가 15밀리미터 이상인 것,4412337000,두께가 15밀리미터 이상인 것,바닥재나 가구용으로 쓰는 두께 15mm 이상의 목재 합판입니다.
4412347000,4412347000,(합판),Of a thickness not less than 15 mm,두께가 15밀리미터 이상인 것,4412347000,두께가 15밀리미터 이상인 것,건축·가구용으로 사용되는 두께 15mm 이상의 일반 목재 합판입니다.
4901101000,4901101000,(서적),Printed in Korean,국문판,4901101000,국문판,한국어로 인쇄된 단일 시트형 안내문·브로슈어 등 인쇄물입니다.
5007202020,5007202020,(천연섬유직물),Satin,사틴,5007202020,사틴,의류나 침구에 사용하는 광택이 나는 실크 새틴 직물입니다.
5305001000,5305001000,(마),Of coconut (coir),코코넛[코이어(coir)]의 것,5305001000,코코넛[코이어(coir)]의 것,매트·로프 등에 사용하는 코코넛 섬유 원료와 그 부산물입니다.
5503201000,5503201000,(폴리에스테르섬유),Of special section face,이형단면(異型斷面)인 것,5503201000,이형단면(異型斷面)인 것,단면 모양이 특수하게 설계된 폴리에스테르 단섬유 원료입니다.
5603930000,5603930000,(기타 직물),Weighing more than 70 g/㎡ but not more than 150 g/㎡,1제곱미터당 중량이 70그램 초과 150그램 이하인 것,5603930000,1제곱미터당 중량이 70그램 초과 150그램 이하인 것,중량이 1㎡당 70g 초과 150g 이하인 비직조 부직포 원단입니다.
5608191000,5608191000,(기타 섬유제품(의류 제외)),Of synthetic fibres,합성섬유로 만든 것,5608191000,합성섬유로 만든 것,스포츠망·안전망 등으로 쓰는 합성섬유 매듭 그물 제품입니다.
5903100000,5903100000,(기타 직물),With poly (vinyl chloride),폴리(염화비닐)의 것,5903100000,폴리(염화비닐)의 것,표면에 폴리염화비닐을 입혀 방수성과 내구성을 높인 코팅 직물입니다.
6004100000,6004100000,(편직물),Containing by weight 5 % or more of elastomeric yarn but not containing rubber thread,"탄성사의 함유중량이 전 중량의 100분의 5 이상이며, 고무실은 함유하지 않은 것",6004100000,탄성사의 함유중량이 전 중량의 100분의 5 이상이며, 고무실은 함유하지 않은 것
6113002000,6113002000,(편물제 의류),Of heading 59.06,제5906호의 것,6113002000,제5906호의 것,코팅·적층된 특수 편직 직물로 만든 작업복·우의 등 의류입니다.
6208210000,6208210000,(직물제 의류),Of cotton,면으로 만든 것,6208210000,면으로 만든 것,면직물로 만든 여성·여아용 잠옷입니다.
6301400000,6301400000,(기타 비내구소비재),"Blankets (other than electric blankets) and travelling rugs, of synthetic fibres",합성섬유로 만든 모포(전기모포는 제외한다)와 여행용 러그(rug),6301400000,합성섬유로 만든 모포(전기모포는 제외한다)와 여행용 러그(rug),합성섬유 재질의 일반 담요와 여행용 담요입니다.
6402911000,6402911000,(신발류),"Footwear, protective against cold",방한화,6402911000,방한화,겨울철에 신는 보온성이 높은 고무·플라스틱 재질 방한용 신발입니다.
6506910000,6506910000,(기타 의류부속품),Of rubber or of plastics,고무나 플라스틱으로 만든 것,6506910000,고무나 플라스틱으로 만든 것,비나 작업 현장에서 쓰는 고무·플라스틱 재질 모자입니다.
7019730000,7019730000,(유리 및 유리제품),Other open fabrics,그 밖의 성긴 직물,7019730000,그 밖의 성긴 직물,단열·보강용으로 사용하는 성긴 구조의 유리섬유 직물입니다.
