HS부호,적용시작일자,적용종료일자,한글품목명,영문품목명,성질통합분류코드명,이름,설명,사유,HS_4자리,HS_6자리,description_4자리,category_4자리,description_6자리,category_6자리,사용자_상품명,사용자_상품설명
409000000,20020101,20251231,천연꿀,Natural honey.,(기타 축산물),Braided twine of polyethylene; LEGERO HS PE X8 NO.4 100M; INDNSIA,"- 폴리에틸렌 멀티필라멘트사 8가닥을 조밀하게 엮어 만든 끈을 스 풀에 감은 것(횡단면 : 약 0.32mm, 스풀을 포함한 중량 : 약 52g)
- 용도 : 낚시줄
- 물품 이미지","○ 관세율표 제5607호에 “끈·배의 밧줄(cordage)·케이블[엮거나 짠 것인지, 고무나 플라스틱을 침투·도포·피복·시드한 것인지에 상 관없다]”이 분류되며, 제5607.49-0000호에 “폴리에틸렌이나 폴리 프로필렌으로 만든 것 : 기타”가 세분류 됨

- 같은 호 해설서에 “(2) 끈·배의 밧줄(cordage)·로프·케이블[엮거 나 짠 것에 한정한다]에 미터당 중량에 관계없이 이들은 모두 이 호에 분류한다. 이들은 일반적으로 관(管) 모양의 브레이드 (braid)이며 이는 제5808호의 브레이드보다 조잡한 재료로 만든 다. 그러나 이 호에서 엮은 물품은 사용한 실의 특성이 보다 적 고 끈·배의 밧줄(cordage)·로프·케이블로 사용하기에 적합하도록 조밀한 구조로 꽉 엮어진 점에서 제5808호의 물품과 다르다. 그 리고 이들은 보통 착색되어 있지 않다.”라고 설명하고 있음

○ 또한, 관세율표 제11부 총설에 “ 제50류부터 제55류까지에서는 짠(braided) 방직용 섬유사(경우에 따라 제5607호나 제5808호)를 제외한다.”라고 규정하고 있음

○ 따라서, 본 품은 합성섬유 멀티필라멘트사를 조밀하게 엮어 만 든 끈이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따 라 제5607.49-0000호에 분류함",409,40900,Honey; natural,honey,Honey; natural,honey,천연꿀,"(기타 축산물) 대분류: Honey; natural, 중분류: Honey; natural"
714102020,20130101,20251231,펠릿(pellet),Pellets,(기타 채소류),Manioc(cassava) pellet; CASSAVA RESIDUE PELLET,"매니옥(카사바)에서 전분을 추출하고 남은 부산물을 펠릿 모양으로 성형한 것 (건조물 기준 전분 함량 : 54%)
- 용도 : 사료용

※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음","ㅇ 관세율표 제0714호에는 “매니옥(manioc)ㆍ칡뿌리ㆍ살렙(salep)ㆍ돼지감자(Jerusalem artichoke)ㆍ고구마와 그 밖에 이와 유사한 전분이나 이눌린(inulin)을 다량 함유한 뿌리ㆍ괴경(塊莖)[얇게 썬 것이나 펠릿(pellet) 모양인지에 상관없으며 신선한 것, 냉장한 것ㆍ냉동한 것, 건조한 것으로 한정한다], 사고야자(sago)의 심(pith)”을 분류하며,

- 같은 호 해설서에서 “이 호에는 식품 제조용이나 공업용품 제조용으로 사용하는 것으로서 전분이나 이눌린(inulin)을 많이 함유하는 괴경(塊莖 : tuber)과 뿌리를 분류한다.”라고 설명하고 있으며,

- “이 호에는 이 호에 속하는 뿌리나 괴경(塊莖)의 조각(예: 칩)이나 제1106호에 속하는 그들의 고운 가루ㆍ거친 가루와 가루로부터 만든 물품(신선한 것, 냉장이나 냉동한 것, 건조한 것으로 한정하며, 얇게 썬 것이거나 펠릿(pellet) 모양으로 한 것인지에 상관없다)을 분류한다.”라고 설명하고 있음

ㅇ 본 물품의 건조물 기준 전분 함량은 54%로 주로 섬유소와 단백질로 구성된 제23류의 물품과는 구별되며 매니옥(카사바)에서 유래된 많은 양의 전분을 함유하고 있으므로 매니옥(카사바)의 본질적인 특성을 유지하고 있다고 판단됨

ㅇ 따라서, 본 물품은 펠릿 모양의 매니옥(카사바)이므로 관세율표 해석에 관한 통칙 제1호 및 제6호에 따라 제0714.10-2020호에 분류함",714,71410,"Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith","content, roots, similar, arrowroot, starch, jerusalem, tubers, inulin, potatoes, manioc, sweet, salep, high","Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets","tubers, vegetable, roots",펠릿(pellet),"(기타 채소류) 대분류: Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith, 중분류: Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets"
804502000,20130101,20251231,망고(mango),Mangoes,(망고),"Mangoes, dried; golden mango","ㅇ 껍질과 씨를 제거한 망고를 절단하여 동결건조한 황색계 불규칙한 조각을 플라스틱 용기에 소매포장한 것(내용량 : 35g)
- 용도 : 애견 간식


<신청물품>

※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음","ㅇ 관세율표 제0804호에는 “대추야자ㆍ무화과ㆍ파인애플ㆍ아보카도(avocado) ㆍ구아바(guava)ㆍ망고(mango)ㆍ망고스틴(mangosteen)(신선하거나 건조한 것으로 한정한다)”이 분류되며, 소호 제0804.50호에는 “구아바(guava)ㆍ망고(mango)ㆍ망고스틴(mangosteen)”을 세분류하고 있음

ㅇ 관세율표 제8류 해설서 총설에서 “이 류에는 일반적으로 식용(제시하는 상태 그대로 이거나 가공 후)에 공하여지는 과실·견과류와 감귤류나 멜론(수박을 포함한다)의 껍질을 분류한다. 이들은 신선(냉장한 것을 포함한다), 냉동(물에 삶거나 쪄서 사전에 조리한 것인지, 감미료를 첨가한 것인지에 상관없다)이나 건조한(탈수 ·증발이나 동결건조한 것을 포함한다) 경우라도 이 류에 분류하며, 일시적으로 보존처리한 것(예: 아황산가스·염수·유황수나 그 밖의 저장용액으로)은 그 상태가 바로 식용에 적합하지 않은 것으로 한정하여 이 류에 분류한다”라고 설명하고 있음

ㅇ 따라서, 본 물품은 동결건조한 망고이므로 관세율표 해석에 관한 통칙 제1호 및 제6호에 따라 제0804.50-2000호에 분류함",804,80450,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens; fresh or dried","mangosteens, pineapples, mangoes, guavas, dates","Fruit, edible; guavas, mangoes and mangosteens, fresh or dried",fruit,망고(mango),"(망고) 대분류: Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens; fresh or dried, 중분류: Fruit, edible; guavas, mangoes and mangosteens, fresh or dried"
813402000,20020101,20251231,대추,Jujubes,(대추),"Jujube, dried; Red Dates Slices","ㅇ 씨를 제거하고 폭 방향으로 슬라이스하여 건조한 대추를 수지제 봉지에 소매포장한 것(내용량: 15g)

- 용도 : 식용



※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음","ㅇ 관세율표 제0813호에는 “건조한 과실(제0801호부터 제0806호까지에 해당하는 것은 제외한다), 이 류의 견과류나 건조한 과실의 혼합물”이 분류되며, 제0813.40-2000호에 “대추”를 세분류하고 있음

- 같은 호 HS해설서에서 “(A) 건조한 과실 : 이 호에는 신선한 것일 때는 제0807호부터 제0810호까지에 분류하는 과실의 건조한 것을 분류한다. 이들 과실은 햇빛에 직접 건조되거나 공업적인 방법(예: tunnel-drying)에 의하여 조제한다. …(중략)… 프룬을 제외한 과실은 보통 반분되거나 얇게 썰어져 있으며, 핵ㆍ속이나 씨가 제거된 상태이다. 또한 이들은 건조하거나 증발건조하여 얇게 썰은 모양이나 블럭 모양의 과육으로 제시한다.”라고 설명하고 있음

ㅇ 또한, 관세율표 제8류 주 제3호에서 “이 류의 건조한 과실이나 건조한 견과류는 부분적으로 재가수(再加水)하거나 ‘가. 추가적인 보존이나 안정(예: 적정한 열처리, 황처리, 소르빈산이나 소르빈산칼륨의 첨가), 나. 외관의 개선이나 유지(예: 식물성 기름이나 소량의 글루코스 시럽의 첨가)’를 위하여 처리할 수도 있다(건조한 과실이나 건조한 견과류의 특징을 유지하는 범위로 한정한다).”라고 규정하고 있음

ㅇ 따라서, 본 물품은 건조 대추이므로 관세율표 해석에 관한 통칙 제1호 및 제6호에 따라 제0813.40-2000호에 분류함",813,81340,"Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter",fruit,"Fruit, edible; fruit n.e.c. in heading no. 0812, dried",fruit,대추,"(대추) 대분류: Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter, 중분류: Fruit, edible; fruit n.e.c. in heading no. 0812, dried"
813500000,20130101,20251231,이 류의 견과류나 건조한 과실의 혼합물,Mixtures of nuts or dried fruits of this Chapter,(기타 과실류),Mixtures of nuts or dried fruits of Chapter 8; Q/CZSH0002S,"ㅇ 건조한 대추의 한 면을 세로로 절단하여 씨를 제거하고 호두 조각을 넣어 낱개 포장하여 비닐 팩에 소매포장한 것(내용량 : 5개)

- 용도 : 식용



※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음","ㅇ 관세율표 제0813호에는 “건조한 과실(제0801호부터 제0806호까지에 해당하는 것은 제외한다), 이 류의 견과류나 건조한 과실의 혼합물”이 분류되며, 소호 제0813.50호에 “이 류의 견과류나 건조한 과실의 혼합물”을 세분류하고 있음

ㅇ 같은 호 해설서에 “이 호에는 이 류의 견과류나 건조한 과실의 모든 혼합물을 분류한다(동일한 호에 해당하는 견과류나 건조한 과실의 혼합물을 포함한다).”라고 설명하고 있음

ㅇ 본건 물품은 건조 대추와 호두를 함께 섭취할 목적으로 호두 조각을 대추 한 알에 삽입하여 수지제 봉지에 개별포장하고 수지제 팩에 소매포장한 것으로,

- 건조 대추의 단맛과 호두의 고소하고 단단한 식감을 같이 맛볼 수 있어, 건조 대추뿐만 아니라 호두의 특성이 모두 있다고 볼 수 있음

ㅇ 따라서, 본건 물품은 제8류에 해당하는 건조한 대추와 견과류인 호두의 혼합물에 해당하므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제0813.50-0000호에 분류함",813,81350,"Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter",fruit,"Nuts, edible; mixtures of nuts or dried fruits of chapter 08",nuts,이 류의 견과류나 건조한 과실의 혼합물,"(기타 과실류) 대분류: Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter, 중분류: Nuts, edible; mixtures of nuts or dried fruits of chapter 08"
1103192000,20130101,20251231,귀리로 만든 것,Of oats,(기타 제분 생산품),Meal of the oats; Organic Baby Cereal 100% Oat,"ㅇ 사전젤라틴화한 귀리 분말에 극소량의 비타민 B1을 혼합한 미황색계 거친 분말을 플라스틱제 팩에 넣어 종이제 상자에 소매포장한 것(내용량 : 200g) (전분함유량 45%초과, 회분함유량 5%이하, 315 마이크론 금속망체 통과 중량비율 80%미만, 1.25 밀리미터 금속망체 통과 중량비율 95%이상)
- 용도 : 영·유아용 이유식(따뜻한 물 또는 우유에 넣고 섭취)

<신청물품>

※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음","ㅇ 관세율표 제1103호에 “곡물의 부순 알곡·거친 가루·펠릿(pellet)”이 분류되며, 제1103.19-2000호에 “귀리로 만든 것”을 세분류하고 있음
- 같은 호 HS해설서에 “이 호에서의 곡물의 부순 알곡과 거친 가루는 곡물(껍질이 있는지에 상관없이 옥수수 속대가 있는 상태로 잘게 부순 것도 포함)의 파쇄에 의하여 얻어진 제품을 말한다. 이것들은 이 류의 주 제2호 가목에 정한 전분과 회분의 함유량의 조건을 충족하고 이 류의 주 제3호에 요구되는 체의 통과기준에 충족하는 경우로 한정한다. …(중략)… 이 호에는 예를 들면, 양조용의 첨가물로서 사용하는 열처리에 의하여 사전 젤라틴화된 거친 가루(예: 옥수수의 것)를 포함한다.”라고 설명하고 있음

ㅇ 관세율표 제11류 주 제2호에 “곡물의 제분 생산품은 건조한 상태의 중량에 따라 귀리는 전분함유량 45%초과, 회분함유량 5%이하인 경우에 제11류에 분류하며, 315 마이크론 체를 통과하는 비율이 80%이상인 경우에 제1102호에 분류하며, 그 외의 것은 제1103호나 제1104호로 분류한다.”라고 규정하고 있으며, 같은 류 주 제3호 나목에 “제1103호에서 곡물의 ‘부순 알곡’과 ‘거친 가루’란 곡물을 잘게 부수어 얻는 것으로 ‘그 밖의 곡물’은 1.25밀리미터의 금속망의 체를 통과하는 중량비율이 100분의 95이상인 것에 해당되어야한다.”라고 규정하고 있음

ㅇ 또한 제1101호 및 제1102호 해설서에 “이 호의 곡물 가루는 극히 소량의 무기인산염ㆍ산화방지제ㆍ유화제ㆍ비타민이나 조제한 베이킹분(self-raising flour)을 첨가함으로써 품질이 개선되는 경우도 있다.”라고 설명하고 있고
- 귀리 분말의 경우 입도 크기에 따라 제1102호 또는 제1103호에 분류되므로 제1102호 해설서 내용은 제1103호에 준용되며
- 극히 소량의 비타민 첨가는 품질 개선을 위해 제1103호에서 허용하는 첨가물임

ㅇ 따라서, 본 물품은 전분, 회분, 체통과율이 제11류 주 규정을 모두 충족하는 귀리의 거친 분말이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호의 규정에 따라 제1103.19-2000호에 분류함",1103,110319,Cereal groats; meal and pellets,"groats, cereal",Cereal groats and meal; n.e.c. in heading no. 1103,"groats, meal, cereal",귀리로 만든 것,"(기타 제분 생산품) 대분류: Cereal groats; meal and pellets, 중분류: Cereal groats and meal; n.e.c. in heading no. 1103"
1107100000,20130101,20251231,볶지 않은 것,Not roasted,(보리가루),"Malt, not roasted; Tritordeum malt","ㅇ 껍질을 제거한 황색계 낱알상의 볶지 않은 맥아(외부는 전체적으로 황갈색이며 내부 단면은 백색임)

- 용도 : 맥주제조용

※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음.","- 관세율표 제1107호에 “맥아(볶은 것인지에 상관없다)”가 분류되며, 소호 제1107.10호에 “볶지 않은 것”을 세분류하고 있음

- 같은 호 HS 해설서에서 “맥아(malt)는 싹이 난 곡립(대개 보리)으로서, 일반적으로 열풍로[맥아로(malt-kiln)]에서 계속 건조된 것이다. 맥아는 양 끝단 사이에 가는 줄이 있고 바깥쪽은 황갈색이고 안쪽은 백색이다. …중략… 이 호에는 원래 모양의 맥아ㆍ잘게 부순 맥아와 맥아의 가루를 분류한다.”라고 설명하고 있음

- 따라서, 본 물품은 볶지 않은 맥아이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호에 따라 제1107.10-0000호에 분류함",1107,110710,Malt; whether or not roasted,malt,Malt; not roasted,malt,볶지 않은 것,"(보리가루) 대분류: Malt; whether or not roasted, 중분류: Malt; not roasted"
1212930000,20120101,20251231,사탕수수,Sugar cane,(기타 농산물),"Sugar cane, dried ; VIETNAM","사탕수수 잎과 줄기를 절단, 건조한 것
- 용도 : 반추동물용 사료","- 관세율표 제1212호에는 ""사탕무와 사탕수수(신선한 것·냉장이나 냉동한 것·건조한 것으로서 잘게 부수었는지에 상관없다)""가 분류되며, 제1212.93-0000호에 ""사탕수수""를 특게함
- 본 품은 절단 후 건조한 사탕수수이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호 규정에 의거 제1212.93-0000호에 분류함",1212,121293,"Locust beans, seaweeds and other algae, sugar beet, sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones, kernels and other vegetable products (including unroasted chicory roots) used primarily for human consumption, n.e.c.","beet, seeds, cane, sugar, algae, ground, seaweeds, locust, fruits, oil, beans, oleaginous","Sugar cane; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground","sugar, cane",사탕수수,"(기타 농산물) 대분류: Locust beans, seaweeds and other algae, sugar beet, sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones, kernels and other vegetable products (including unroasted chicory roots) used primarily for human consumption, n.e.c., 중분류: Sugar cane; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
1902191000,20020101,20251231,국수,Noodles,(곡물 가공품),Rice noodles; THAILND,"쌀가루 74.58%에 타피오카 전분 13.42%, 정제수 12%를 혼합하여 찐 다음 성형한 후 건조한 국수 다발의 것
- 용도 : 식용
※ 품목분류는 수출입당시 물품상태에 따라 변경될 수 있습니다.","ㅇ 관세율표 제1902호에는 ""파스타""가 분류되며,
- 동 호 해설서에 ""이 호의 파스타는 소맥·옥수수·쌀·감자 등의 세몰리나 또는 분으로 만들어진 발효 하지 않은 물품으로 물로 혼합하여 말랑말랑한 덩어리로 반죽한 뒤 여러 가지 방법에 의하여 각종형태로 만들어지며, 신선한 그노치 및 냉동한 레비오리 같은 건조하지 않은 것(즉 : 축축한 것, 신선한 것)과 냉동한 물품 및 세몰리나를 열처리한 쿠우스쿠우스도 분류된다.""고 설명하고 있음

ㅇ 본 품은 쌀가루 주성분에 전분 등을 혼합하여 제조한 쌀국수이므로 관세율표의 해석에 관한 통칙 제1호 및 제6호의 규정에 의하여 제1902.19-1000호에 분류",1902,190219,"Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",pasta,"Food preparations; pasta, uncooked (excluding that containing eggs), not stuffed or otherwise prepared","food, preparations",국수,"(곡물 가공품) 대분류: Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared, 중분류: Food preparations; pasta, uncooked (excluding that containing eggs), not stuffed or otherwise prepared"
1904901010,20070101,20251231,찌거나 삶은 쌀,Steamed or boiled rice,(곡물 가공품),"Rice preparations, precooked; NIPPN ONE PLATE MEAL JAPANESE SEASONED RICE AND CHICKEN AND VEGETABLES WITH BLACK VINEGAR SAUCE","사전조리한 낱알상의 쌀 약 45.1%, 익힌 채소류(피망, 당근, 가지 등) 약 37.4%, 닭튀김 약 16.9%, 소스 약 0.6%를 칸막이로 분리된 지제 용기에 담고 소매포장하여 냉동한 것 (내용량 : 300g)
※ 쌀 내부에 있는 전분입자의 모양이 중심부까지 완전히 파괴된 상태

- 용도 : 식용 (전자레인지 가열 후 섭취)


※ 품목분류는 수출입신고 당시의 물품상태에 따라 변경될 수 있음","ㅇ 관세율표 제1904호는 “곡물이나 곡물 가공품을 팽창시키거나 볶아서 얻은 조제 식료품[예: 콘 플레이크(corn flake)]과 낱알 모양이나 플레이크(flake) 모양이나 그 밖의 가공한 곡물(옥수수는 제외하며 고운 가루ㆍ부순 알곡ㆍ거친 가루는 제외하고 사전조리나 그 밖의 방법으로 조제한 것으로서 따로 분류되지 않은 것으로 한정한다)”을 분류하며,

- 같은 호 HS해설서에서 “이 그룹에는 사전 조리나 그 밖의 방법으로 조제한 곡물 알갱이 모양[쇄미(broken rice)를 포함한다]의 곡물을 분류한다. 완전히 사전조리한 쌀은 먹기 전에 단지 물에 적신 후에 끓이기만 하면 되는 반면에 부분적으로 조리한 쌀은 먹기 전에 5분~12분 동안 끓여야만 한다. 마찬가지로 이 그룹에는 예를 들면, 사전에 조리한 쌀에 채소나 조미료와 같은 그 밖의 성분을 첨가한 것으로 구성된 물품도 포함하는데, 다만, 이러한 그 밖의 성분들은 쌀 조제품으로서의 물품의 특성을 변경시키지 않는 경우여야 한다.”라고 설명하고 있음

ㅇ 관세법 제85조에 따른 품목분류의 적용기준에 관한 규칙 (기획재정부령 제884호, 2021. 12. 31.) [별표] 제21호 ""찌거나 삶은 곡물(관세율표의 곡물을 말하며, 옥수수는 제외한다)""에서 "" '찌거나 삶은 곡물의 단면을 전자현미경으로 관찰할 때 곡물 내부에 있는 전분입자의 모양이 중심부까지 완전히 파괴된 것, X-선 회절분석(回折分析) 시 생 곡물의 결정구조가 비결정질로 변형된 것'을 모두 충족하는 경우 품목번호 제1904호에 분류한다.""라고 규정하고 있음

- 본 물품은 쌀 내부에 있는 전분입자의 모양이 중심부까지 완전히 파괴되었으며, 결정구조가 비결정질로 변형된 것으로 위 요건을 모두 충족함

ㅇ 따라서 본 물품은 상기 물품설명과 같이 구성된 것으로 본질적인 특성이 사전조리한 쌀에 있으므로 관세율표 해석에 관한 통칙 제1호, 제3호 나목 및 제6호에 따라 제1904.90-1010호에 분류함",1904,190490,"Prepared foods obtained by swelling or roasting cereals or cereal products (e.g. corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (not flour and meal), pre-cooked or otherwise prepared, n.e.c.","cereals, corn, foods, flakes, cereal, prepared","Food preparations; cereal or cereal products (excluding maize), in grain form, pre-cooked or otherwise prepared","food, preparations",찌거나 삶은 쌀,"(곡물 가공품) 대분류: Prepared foods obtained by swelling or roasting cereals or cereal products (e.g. corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (not flour and meal), pre-cooked or otherwise prepared, n.e.c., 중분류: Food preparations; cereal or cereal products (excluding maize), in grain form, pre-cooked or otherwise prepared"
