HS10,HS부호,성질통합분류코드명,영문품목명,한글품목명,HS10_int,사용자_상품명,사용자_상품설명
8411821000,8411821000,(항공기 엔진),For aircraft,항공기용,8411821000,항공기용,항공기 엔진용 대형 가스터빈 장치입니다. 5000kW를 초과하는 출력의 항공기용 터빈을 의미합니다.
303899020,303899020,(기타 어류(냉동)),Thorny head,홍살치,303899020,홍살치,"홍살치를 냉동한 제품으로, 손질되지 않은 통생선 형태의 냉동 수산물입니다."
8806210000,8806210000,(무인기),With maximum take-off weight not more than 250 g,최대이륙중량이 250그램 이하인 것,8806210000,최대이륙중량이 250그램 이하인 것,"최대 이륙중량이 250g 이하인 초소형 무인기(드론)으로, 원격 조종 전용입니다."
5206320000,5206320000,(면사),Measuring per single yarn less than 714.29 decitex but not less than 232.56 decitex (exceeding 14 metric number but not exceeding 43 metric number per single yarn),구성하는 단사가 714.29데시텍스 미만 232.56데시텍스 이상인 것(단사당 미터식 번수 14수 초과 43수 이하),5206320000,구성하는 단사가 714.29데시텍스 미만 232.56데시텍스 이상인 것,"면섬유 함량이 85% 미만이며, 단사 굵기가 714.29~232.56 데시텍스인 비소매용 면사입니다."
8463200000,8463200000,(금속성형가공기계),Thread rolling machines,나사 전조기,8463200000,나사 전조기,금속에 나사 골을 성형하기 위해 절삭 없이 압력을 가해 성형하는 나사 전조 가공 기계입니다.
5303901090,5303901090,(마),Other textile bast fibres,그 밖의 방직용 인피(靭皮)섬유,5303901090,그 밖의 방직용 인피섬유,삼베류에 속하는 인피섬유(황마 등)를 정제한 후 방적 전 단계까지 처리한 섬유 원료입니다.
711904000,711904000,(당근),Carrots,당근,711904000,당근,"임시 보존 처리된 당근으로, 그대로는 바로 섭취할 수 없는 가공 전 단계 제품입니다."
9113200000,9113200000,(시계줄),"Of base metal, whether or not gold- or silver- plated",비금속(卑金屬)으로 만든 것(금이나 은을 도금하였는지에 상관없다),9113200000,비금속으로 만든 것,비금속(철·구리 등 저가 금속) 재질의 시계줄·밴드 또는 그 부속품입니다.
4302209020,4302209020,(기타모피(유연처리 또는 드레스가공)),Of raccoon,라쿤(raccoon)의 것,4302209020,라쿤의 것,라쿤 모피를 유연 처리하거나 드레스가공하여 제작한 머리·꼬리·조각 등의 모피류입니다.
7403120000,7403120000,(동),Wire-bars,와이어바(wire-bar),7403120000,와이어바,"구리 정련 과정에서 생산된 구리 와이어바(주괴)로, 가공 전 단계의 비가공 구리 제품입니다."
3702100000,3702100000,(사진용화합물),For X-ray,엑스선용,3702100000,엑스선용,의료·산업용 X-ray 촬영에 사용하는 감광 롤필름(미노출 상태)입니다.
8456500000,8456500000,(금속절삭가공기계),Water-jet cutting machines,워터제트 절단기,8456500000,워터제트 절단기,고압 물줄기로 금속·비금속을 절단하는 산업용 워터제트 가공 기계입니다.
8528730000,8528730000,(흑백 TV),"Other, monochrome",기타(단색),8528730000,기타(단색),흑백 단색 화면을 표시하는 텔레비전 수상기 또는 수신 장치입니다.
6302210000,6302210000,(기타 비내구소비재),Of cotton,면으로 만든 것,6302210000,면으로 만든 것,면직물로 만든 침대용 린넨류(베개커버·침대보 등)입니다.
8535100000,8535100000,(기타 IT부품),Fuses,퓨즈,8535100000,퓨즈,1000V 초과 전압에서 회로 보호용으로 사용하는 대형 산업용 퓨즈입니다.
4002510000,4002510000,(합성고무),Latex,라텍스,4002510000,라텍스,"아크릴로니트릴-부타디엔(NBR) 기반 합성고무 라텍스로, 제조용 원료 형태의 라텍스입니다."
4418830000,4418830000,(건축용 목제품),I beams,아이빔(I beam),4418830000,아이빔,건축 구조용 목재로 제작된 I-빔 형상의 엔지니어드 우드 제품입니다.
4403410000,4403410000,(원목),"Dark Red Meranti, Light Red Meranti and Meranti Bakau",다크레드메란티(Dark Red Meranti)ㆍ라이트레드메란티(Light Red Meranti)ㆍ메란티바카우(Meranti Bakau),4403410000,다크레드메란티,다크 레드 메란티·라이트 레드 메란티 등 열대산 원목을 껍질 제거 후 거칠게 다듬은 상태의 원목입니다.
2905161000,2905161000,(유기화합물),2-ethylhexyl alcohol,2-에틸헥실알코올,2905161000,2-에틸헥실알코올,"산업용으로 사용되는 옥탄올 계열 알코올로, 안정적인 단일포화 알코올 제품입니다."
