HS10,HS부호,성질통합분류코드명,영문품목명,한글품목명,HS10_int,사용자_상품명,사용자_상품설명
0409000000,0409000000,(기타 축산물),Natural honey.,천연꿀,0409000000,천연꿀,"(기타 축산물) 대분류: Honey; natural, 중분류: Honey; natural"
0714102020,0714102020,(기타 채소류),Pellets,펠릿(pellet),0714102020,펠릿(pellet),"(기타 채소류) 대분류: Manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content; fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith, 중분류: Vegetable roots and tubers; manioc (cassava), with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets"
0804502000,0804502000,(망고),Mangoes,망고(mango),0804502000,망고(mango),"(망고) 대분류: Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens; fresh or dried, 중분류: Fruit, edible; guavas, mangoes and mangosteens, fresh or dried"
0813402000,0813402000,(대추),Jujubes,대추,0813402000,대추,"(대추) 대분류: Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter, 중분류: Fruit, edible; fruit n.e.c. in heading no. 0812, dried"
0813500000,0813500000,(기타 과실류),Mixtures of nuts or dried fruits of this Chapter,이 류의 견과류나 건조한 과실의 혼합물,0813500000,이 류의 견과류나 건조한 과실의 혼합물,"(기타 과실류) 대분류: Fruit, dried, other than that of heading no. 0801 to 0806; mixtures of nuts or dried fruits of this chapter, 중분류: Nuts, edible; mixtures of nuts or dried fruits of chapter 08"
1103192000,1103192000,(기타 제분 생산품),Of oats,귀리로 만든 것,1103192000,귀리로 만든 것,"(기타 제분 생산품) 대분류: Cereal groats; meal and pellets, 중분류: Cereal groats and meal; n.e.c. in heading no. 1103"
1107100000,1107100000,(보리가루),Not roasted,볶지 않은 것,1107100000,볶지 않은 것,"(보리가루) 대분류: Malt; whether or not roasted, 중분류: Malt; not roasted"
1212930000,1212930000,(기타 농산물),Sugar cane,사탕수수,1212930000,사탕수수,"(기타 농산물) 대분류: Locust beans, seaweeds and other algae, sugar beet, sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones, kernels and other vegetable products (including unroasted chicory roots) used primarily for human consumption, n.e.c., 중분류: Sugar cane; fit for human consumption, fresh, chilled, frozen or dried, whether or not ground"
1902191000,1902191000,(곡물 가공품),Noodles,국수,1902191000,국수,"(곡물 가공품) 대분류: Pasta; whether or not cooked or stuffed with meat or other substance, or otherwise prepared, egg spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared, 중분류: Food preparations; pasta, uncooked (excluding that containing eggs), not stuffed or otherwise prepared"
1904901010,1904901010,(곡물 가공품),Steamed or boiled rice,찌거나 삶은 쌀,1904901010,찌거나 삶은 쌀,"(곡물 가공품) 대분류: Prepared foods obtained by swelling or roasting cereals or cereal products (e.g. corn flakes); cereals (other than maize (corn)) in grain form or in the form of flakes or other worked grains (not flour and meal), pre-cooked or otherwise prepared, n.e.c., 중분류: Food preparations; cereal or cereal products (excluding maize), in grain form, pre-cooked or otherwise prepared"
2005591000,2005591000,(채소류가공품),Of small green beans,녹두,2005591000,녹두,"(채소류가공품) 대분류: Vegetables preparations n.e.c.; prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading no. 2006, 중분류: Vegetable preparations; beans, (not shelled), prepared or preserved otherwise than by vinegar or acetic acid, not frozen"
2009710000,2009710000,(과실주스),Of a Brix value not exceeding 20,브릭스(Brix) 값이 20 이하인 것,2009710000,브릭스(Brix) 값이 20 이하인 것,"(과실주스) 대분류: Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter, 중분류: Juice; apple, of a Brix value not exceeding 20, unfermented, (not containing added spirit), whether or not containing added sugar or other sweetening matter"
2101209011,2101209011,(기타 차류),Of packing with tea bag,티백 포장의 것,2101209011,티백 포장의 것,"(기타 차류) 대분류: Extracts, essences, concentrates of coffee, tea or mate; preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes and extracts, essences and concentrates thereof, 중분류: Extracts, essences and concentrates; of tea or mate, and preparations with a basis of these extracts, essences or concentrates or with a basis of tea or mate"
2106909040,2106909040,(기타 조제식료품),Autolyzed yeast and other yeast extracts,자기소화효모(autolyzed yeast)와 그 밖의 효모 추출물(extract),2106909040,자기소화효모(autolyzed yeast)와 그 밖의 효모 추출물(extract),"(기타 조제식료품) 대분류: Food preparations not elsewhere specified or included, 중분류: Food preparations; n.e.c. in item no. 2106.10"
2303100000,2303100000,(농산물 부산물),Residues of starch manufacture and similar residues,전분박과 이와 유사한 박(residue)류,2303100000,전분박과 이와 유사한 박(residue)류,"(농산물 부산물) 대분류: Residues of starch manufacture, similar residues; beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets, 중분류: Residues of starch manufacture and similar residues; whether or not in the form of pellets"
2306200000,2306200000,(농산물 부산물),Of linseed,아마씨에서 나온 것,2306200000,아마씨에서 나온 것,"(농산물 부산물) 대분류: Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading no. 2304 or 2305, 중분류: Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of linseed oils"
2309102000,2309102000,(사료),Cat food,고양이 사료,2309102000,고양이 사료,"(사료) 대분류: Preparations of a kind used in animal feeding, 중분류: Dog or cat food; put up for retail sale, used in animal feeding"
